GUID,ARTIST,TRACK,AIRTIME
e8d6e71d-ddc9-4334-e2ae-7f46605edff2,Revolverheld,Ich lass für dich das Licht an,2022-07-06T20:49:03+02:00
5069e6d7-570b-4f68-1ab2-79a9984629a1,Purple Disco Machine & Sophie and the Giants,In The Dark,2022-07-06T20:46:08+02:00
8a9bb96a-e2d1-4609-2eb4-bfb93d868b78,Amy Winehouse,Tears Dry On Their Own,2022-07-06T20:42:38+02:00
16f8467d-481b-4f08-9f03-f74eea37e42f,Coldplay X BTS,My Universe,2022-07-06T20:39:36+02:00
381539ce-e09e-4359-d7bb-4cb668b5af13,Lionel Richie,All Night Long (All Night),2022-07-06T20:35:33+02:00
9fa5428e-5c93-44e8-6205-82a4db7cdd77,twocolors,Lovefool,2022-07-06T20:32:27+02:00
7e9d2dda-3af6-4fe2-3041-e79eb7f3c14b,Juanes,La Camisa Negra,2022-07-06T20:27:00+02:00
ed0abd09-8762-47a9-f22a-e6ad97b8a742,Nena,WANDERN,2022-07-06T20:23:25+02:00
4d0cbb9f-a6ca-47fd-2266-cad24bd523e3,Shouse,Love Tonight,2022-07-06T20:20:32+02:00
eb34dd71-9834-4dbc-15b1-b77cd0c17c30,Katy Perry,Roar,2022-07-06T20:16:46+02:00
c9fa7c93-befc-4927-5a3f-9be23d74ec73,Felix Jaehn,Do It Better (feat. Zoe Wees),2022-07-06T20:14:02+02:00
d03e0860-76dc-4346-2fba-91a86e6c354a,Adel Tawil,Tu m'appelles (feat. Peachy),2022-07-06T20:10:24+02:00
a05f1c77-39fa-4cf3-6927-7b40202817f3,Jack Radics,No Matter,2022-07-06T20:07:23+02:00
76a5016d-57ba-4e8c-140a-821752dc7c48,Max Giesinger & Quarterhead,Nichts mehr zu sagen,2022-07-06T20:04:55+02:00
58b8fad1-9c42-43bd-06aa-8346fc8b1794,Ava Max,Maybe You’re The Problem,2022-07-06T20:01:51+02:00
1f10933d-43ee-4b2c-8d5a-3a806534ed4d,Ich + Ich,Vom selben Stern,2022-07-06T19:57:32+02:00
ed1d60d1-2757-450e-766c-89120daab15d,Rag'n'Bone Man,All You Ever Wanted,2022-07-06T19:50:50+02:00
9fc0573e-e11a-446e-39b1-13503704dced,Alessia Cara,Scars to Your Beautiful,2022-07-06T19:47:14+02:00
e1b57a7b-fb10-4c9c-2c63-11a2fb254870,Stefanie Heinzmann & Hight,Best Life,2022-07-06T19:43:13+02:00
d0e20d88-3167-4117-7106-cfd2190e7b2b,DJ Bobo,Everybody,2022-07-06T19:39:18+02:00
9713db72-1762-4990-8f33-10adf777832e,Johannes Oerding,Plan A,2022-07-06T19:35:18+02:00
342e3957-a769-43cf-d0ee-0a3507f3fa1c,Clean Bandit,Solo (feat. Demi Lovato),2022-07-06T19:31:59+02:00
cdb744cd-89bc-496a-a417-fbe093c5b10d,Kylie Minogue,Can't Get You Out of My Head,2022-07-06T19:28:15+02:00
9a138a85-c5f8-4516-73c3-adb74d758ab6,Michael Schulte,Stay,2022-07-06T19:25:28+02:00
0d2679ce-9247-4cff-806e-7382bec93785,Madcon,Beggin',2022-07-06T19:22:51+02:00
45525da8-f35f-4591-9242-cf1014f9abc3,Reamonn,Supergirl,2022-07-06T19:19:14+02:00
7bc0749e-0756-41d2-b06d-9b0172ba66a7,Bosse,Ich warte auf dich,2022-07-06T19:15:50+02:00
a08021e7-1cc4-43aa-6dfd-c4c9eb600b32,Simple Minds,Don't You (Forget About Me),2022-07-06T19:11:13+02:00
8cd3798d-a8f2-4bec-794c-5e887639e812,GAYLE,abcdefu,2022-07-06T19:08:29+02:00
af851c39-8101-4cfd-3044-b2cea00efb81,JORIS,Herz über Kopf,2022-07-06T19:04:15+02:00
176b9eb7-cc6d-4077-4210-68629de737fb,James Blunt,Adrenaline,2022-07-06T19:01:24+02:00
59e6bff2-f045-42b7-fdfc-6a467f7c2959,Lisa Stansfield,All Around the World,2022-07-06T18:54:50+02:00
4f90a023-a6d9-4d50-679e-16e7b36ef5a4,Kygo x DNCE,Dancing Feet,2022-07-06T18:50:50+02:00
919c3205-d732-4c86-736b-929b65c15b18,Udo Lindenberg,Cello (feat. Clueso),2022-07-06T18:47:35+02:00
5e9c0422-7f96-4533-60e4-d3541dd16393,The Weeknd,Sacrifice,2022-07-06T18:42:55+02:00
39a94df4-ddc9-4348-d66a-2be5e60019c6,Madonna,Music,2022-07-06T18:39:29+02:00
1afacd41-1332-43ca-2fc7-9adf52bf52ac,Mark Forster,Kogong,2022-07-06T18:35:54+02:00
bf8b4cc1-1a02-4bff-040d-603d85f8304d,Rihanna,S&M,2022-07-06T18:31:47+02:00
ee46f4df-170e-4681-9cd2-fecabc6a63cd,Meghan Trainor,All About That Bass,2022-07-06T18:27:18+02:00
46a5b935-2060-4b1a-45bf-c88e93b1de06,Tim Bendzko,Nur noch kurz die Welt retten,2022-07-06T18:24:10+02:00
209e2f2b-950e-4c11-b1bd-d82dbc33cdf9,Lena,Strip,2022-07-06T18:21:25+02:00
0b9922cb-aad3-4422-ff7a-39643eab6341,Justin Timberlake,Rock Your Body,2022-07-06T18:17:16+02:00
6e8c3c2d-c094-4ef5-2788-b8da041e4369,Tom Walker,Better Half of Me,2022-07-06T18:13:40+02:00
77daf865-9317-4a62-7884-fd87f5c365fe,Buena Vista Social Club,Chan Chan,2022-07-06T18:09:28+02:00
9a55abf8-513d-4b7a-3885-b1777dd7b3a2,Ellie Goulding X Diplo Feat. Swae Lee,Close To Me,2022-07-06T18:05:11+02:00
8d591381-c5f1-4aa2-ccd2-bf1ae0c5e390,Leony,Remedy,2022-07-06T18:02:51+02:00
816baba6-453b-4c2b-e95d-99ef45930bbb,George Ezra,Blame It on Me,2022-07-06T17:57:46+02:00
155dc43b-9158-4980-6f67-3ee513b794a4,Alicia Keys,Fallin',2022-07-06T17:54:37+02:00
35779852-55de-4d61-9f9b-fdd43707c50d,Yvonne Catterfeld,Pendel,2022-07-06T17:51:12+02:00
79bea545-d915-4407-d183-b33bd0135d4b,Jack Savoretti,Too Much History,2022-07-06T17:47:19+02:00
92eee8a7-7400-4aa5-572a-9e9607debaf9,Robin Schulz,In Your Eyes (feat. Alida),2022-07-06T17:44:00+02:00
94bf17d1-bdab-4043-b412-9b87e30a2e99,Shawn Mendes,When You're Gone,2022-07-06T17:40:13+02:00
f07ec1c9-026d-48db-3a10-37f3f9c3a364,Fugees,Killing Me Softly,2022-07-06T17:36:15+02:00
ac5ac8ef-1f51-4971-25fe-5e679c8e92b5,Milow,How Love Works,2022-07-06T17:32:45+02:00
434a4d7c-df33-4ffa-7d20-ea98bcfe3137,Alice Merton,Why so Serious,2022-07-06T17:29:23+02:00
fd91a8ff-2228-42f6-cb07-1dcbe36e8f53,The BossHoss,Jolene (feat. The Common Linnets),2022-07-06T17:26:19+02:00
eb6fb02d-5840-4edb-5f0c-6507ddcbe887,The Underdog Project,Summer Jam,2022-07-06T17:22:47+02:00
6324ab7a-eccc-4fb1-1ee8-23371f814e14,Max Giesinger,Wenn sie tanzt,2022-07-06T17:19:12+02:00
68b5d7ee-0e31-4d80-83da-7c104420e5ee,Bill Medley & Jennifer Warnes,(I've Had) The Time of My Life,2022-07-06T17:14:19+02:00
7779458f-d8f8-46fa-16fe-cb90e13fe7a2,Alesso & Katy Perry,When I'm Gone,2022-07-06T17:11:43+02:00
b9eaf4c3-5d62-4306-1b17-8d4017c5ae3f,Lukas Graham,Love Someone,2022-07-06T17:07:09+02:00
ddc1cf6b-3b76-4aac-e043-e19ae69f8a6b,Camila Cabello & Ed Sheeran,Bam Bam,2022-07-06T17:03:49+02:00
14720eeb-9757-4371-503d-bcf056ce8c6d,Aloe Blacc,My Way,2022-07-06T16:58:12+02:00
7ecac457-bd58-4b9b-b57f-e34d6c88ab46,George Benson,Give Me the Night,2022-07-06T16:54:28+02:00
83778084-d670-413f-3886-80103f8b8262,Jaymes Young,Infinity,2022-07-06T16:50:14+02:00
243a41b7-2157-4802-79ae-de619eee4e3e,Gossip,Move In the Right Direction,2022-07-06T16:47:06+02:00
90618918-fc0e-42aa-6675-90a6dc5183ce,iann dior,let you,2022-07-06T16:43:22+02:00
912b9bcc-2ac0-447d-4bed-f3c799ef5343,Gwen Stefani,The Sweet Escape,2022-07-06T16:39:19+02:00
c4c01bc8-4a90-48be-698b-501b107a7b42,Glockenbach,Brooklyn (feat. ClockClock),2022-07-06T16:36:24+02:00
9aacb0bf-048d-4103-e809-2f960f3a81fb,The Pussycat Dolls,Don't Cha,2022-07-06T16:32:31+02:00
31b3891c-086f-49ac-57cc-4549d0da66f0,Post Malone,Circles,2022-07-06T16:27:58+02:00
b330dbad-0130-4c19-56e2-c3953c989ba0,Bruno Mars,Count On Me,2022-07-06T16:24:49+02:00
b890bb5a-4c43-4e94-014d-5253a0523495,Elton John & Dua Lipa,Cold Heart (PNAU Remix),2022-07-06T16:21:33+02:00
