GUID,ARTIST,TRACK,AIRTIME
813714a7-1e66-429f-4fa9-9efebc4ccfee,Queen,Friends Will Be Friends,2022-07-06T19:23:12+02:00
4cfbfc93-74dd-4fa2-edbd-0979612aa66c,Revolution Saints,When the Heartache Has Gone,2022-07-06T19:18:26+02:00
f1d90385-e33b-48de-bccd-8340073d6122,Airbourne,"Blonde, Bad and Beautiful",2022-07-06T19:14:42+02:00
cd5ace19-1feb-4d4e-6cfe-a4c044a05bf3,Red Hot Chili Peppers,Black Summer,2022-07-06T19:10:18+02:00
0585d71b-890a-4314-ffdd-3abfbc25942c,Billy Joel,We Didn't Start the Fire,2022-07-06T19:05:59+02:00
7ff7eac9-2e68-4367-ab9e-97ae182b7938,Rammstein,Giftig,2022-07-06T19:02:57+02:00
8cb7104c-3d1a-40ad-b77a-7e6b9de15000,Bon Jovi,Keep The Faith [Edit],2022-07-06T18:56:19+02:00
6d7382d7-b08c-48bf-9132-3fe578c7e595,Shinedown,Planet Zero,2022-07-06T18:52:40+02:00
f01cd560-e38e-47b7-efd7-3cb1d24f3f89,Beth Hart,Black Dog,2022-07-06T18:47:13+02:00
55bcf322-6db7-491a-764b-eaa728d8ac50,Pennywise,Let Us Hear Your Voice,2022-07-06T18:43:32+02:00
2723b107-1ae6-418b-2a35-cfc70eb3dd14,Royal Republic,Diggin' It,2022-07-06T18:39:39+02:00
e6a56609-05f0-475d-b058-3f002e25729b,Melissa Etheridge,Like the Way I Do,2022-07-06T18:35:27+02:00
5b81047f-6a9d-4f18-a121-afa006031d62,Parkway Drive,Glitch,2022-07-06T18:31:12+02:00
ea0d2ed5-216d-44d6-72df-a54c09895bd8,LINKIN PARK,Breaking the Habit,2022-07-06T18:25:16+02:00
6b50484c-1033-4792-a169-6922e1f7ba22,U2,Angel of Harlem,2022-07-06T18:21:35+02:00
13f1bec4-cc94-4bfa-feb4-fba040191c8b,In Extremo,Sternhagelvoll,2022-07-06T18:17:29+02:00
afb48ec4-eeeb-4633-5a5c-083af14a06fa,Aerosmith,Livin' on the Edge,2022-07-06T18:10:57+02:00
24fe5c87-6ea7-453e-5534-c4a52affb515,Fury In the Slaughterhouse,Good Day To Remember,2022-07-06T18:06:31+02:00
e9ec8ff8-2410-4df6-d040-1475ab8006b4,Ozzy Osbourne,Crazy Train,2022-07-06T18:01:54+02:00
ab5d1208-96bb-4137-0ed0-05594cf49cbe,Huey Lewis & The News,Stuck With You,2022-07-06T17:53:46+02:00
e46259a7-f935-478d-54a0-bc4ef696ac17,Nickelback,When We Stand Together,2022-07-06T17:50:32+02:00
26ebffce-0224-4941-2943-82522227a6dc,Guns N' Roses,Don't Cry,2022-07-06T17:45:58+02:00
107d0520-b7fb-439f-6fd5-8254edd2aa86,Dorothy,Black Sheep,2022-07-06T17:42:49+02:00
0f213df6-86df-4798-6278-37416a6aa6b6,The Rolling Stones,It's Only Rock'n'Roll (But I Like It),2022-07-06T17:37:36+02:00
7c82d9ee-5382-4a03-df5e-911c1112a8d8,Black Stone Cherry,Like I Roll,2022-07-06T17:33:54+02:00
391ceb81-7753-4d89-526c-f669519e4ae1,David Bowie,Let's Dance,2022-07-06T17:30:01+02:00
9694cd26-eeb2-4954-41cc-81c88b4084a7,Dirty Honey,When I'm Gone,2022-07-06T17:23:52+02:00
d9bb3ca4-7d4d-4e5c-84f4-d9fbd212886d,BAP,Verdamp Lang Her,2022-07-06T17:17:28+02:00
3e724d73-7017-489f-52e0-c7fe55c375f5,Mando Diao,Frustration,2022-07-06T17:14:21+02:00
3cb9dbce-2b29-4923-c705-7577636e5db3,Metallica,Enter Sandman,2022-07-06T17:09:03+02:00
8f1b44a9-ac8e-4533-171c-5a5c440cabcb,Foreigner,That Was Yesterday,2022-07-06T17:05:13+02:00
5909cf5a-e669-4798-92bb-aff52128ffff,Rise Against,Tragedy + Time,2022-07-06T17:01:07+02:00
1bb6a16e-65d5-48b6-b682-7e1e90cc52d0,Iron Maiden,Can I Play With Madness,2022-07-06T16:54:40+02:00
0a3dab21-58e4-4a72-9f22-cc88a944150b,Green Day,Oh Love,2022-07-06T16:50:18+02:00
