GUID,AIRTIME,ARTIST,TRACK
8746f557-b7c4-4189-e21b-8bf70df4aaa5,Sigma,Nobody to Love,2022-07-06T20:40:05+02:00
a401cba2-2bd8-4b87-6733-5a391e5cfef4,Michael Patrick Kelly x Rea Garvey,Best Bad Friend,2022-07-06T20:35:46+02:00
fc21961e-4814-4ff0-4cca-cf9abbf59cd3,P!nk,Sober,2022-07-06T20:31:36+02:00
b6524a11-8f17-4f48-6ed7-1a5e15fe79cf,Harry Styles,As It Was,2022-07-06T20:28:56+02:00
f981a8dc-85a3-4478-3f97-a1a00e7f5438,Backstreet Boys,I Want It That Way,2022-07-06T20:22:06+02:00
659f89ca-7b5f-44ad-847d-8357303cb613,The Underdog Project,Summer Jam (Alle Farben Remix),2022-07-06T20:19:00+02:00
3484d68f-3d9f-4bcd-8416-afbfe367dd56,Alan Walker,Faded,2022-07-06T20:15:26+02:00
b8b0e401-6c05-4084-3a77-d533b51a1bfe,"Topic, Robin Schulz, Nico Santos & Paul van Dyk",In Your Arms (For An Angel),2022-07-06T20:12:23+02:00
84dbe46a-067a-46ad-7160-1055d0a388c7,Michael Schulte,With You,2022-07-06T20:08:13+02:00
73d81852-03f7-4370-0a89-41ef31425ab4,James Morrison,Broken Strings (feat. Nelly Furtado),2022-07-06T20:04:06+02:00
90919f3d-b2e9-4ad1-c218-91d228a99aed,Alle Farben,Alright (feat. KIDDO),2022-07-06T20:01:20+02:00
36660669-48fa-4569-d991-6c3ad435a00b,The Disco Boys feat. Mannfred Mann's Earthband,For You,2022-07-06T19:51:00+02:00
294b08a2-26fa-4cfc-f91c-f09137ca4333,Pharrell Williams,Happy,2022-07-06T19:46:54+02:00
ff3689ca-3b6a-4991-a3ec-de68ccdf86d4,Tinlicker & Helsloot,Because You Move Me,2022-07-06T19:43:46+02:00
67f1ae14-085c-46e1-daef-1c80f0c9d2c1,Wincent Weiss,Wer wenn nicht wir,2022-07-06T19:41:05+02:00
107e979b-959f-412c-366f-4066e8417556,Alice Merton,No Roots,2022-07-06T19:37:11+02:00
40644edd-2d88-46db-dfab-0bd98682d692,"David Guetta, Becky Hill & Ella Henderson",Crazy What Love Can Do,2022-07-06T19:34:06+02:00
c6c6139b-0aed-4520-8273-993d45519180,The Script,Hall of Fame (feat. will.i.am),2022-07-06T19:30:24+02:00
5069e6d7-570b-4f68-1ab2-79a9984629a1,Purple Disco Machine & Sophie and the Giants,In The Dark,2022-07-06T19:27:29+02:00
972b8bf7-ccb5-46d2-ec22-9b688d6e257b,Phil Collins,Two Hearts,2022-07-06T19:18:57+02:00
a27e2803-5cc5-4187-3e2a-86cf90f4c55e,Ava Max,Sweet but Psycho,2022-07-06T19:15:56+02:00
