GUID,ARTIST,TRACK,AIRTIME
d88c227d-eb29-469a-ed9b-e515097022c9,Sia,Cheap Thrills (feat. Sean Paul),2022-07-06T20:49:59+02:00
00f4843d-819d-40a0-c20b-49103007bccc,Sasha,Lucky Day,2022-07-06T20:46:46+02:00
fd0b0a7b-8694-419c-5033-da8a297dd540,Panic! At the Disco,High Hopes,2022-07-06T20:43:37+02:00
b6d64b1c-daf1-460f-16be-6e3f4066246f,P!nk & Willow Sage Hart,Cover Me In Sunshine,2022-07-06T20:41:25+02:00
fc60a482-83dd-4f6a-7624-8cb9c1628445,Take That,Back for Good,2022-07-06T20:35:50+02:00
472ece51-2549-4a49-8ea3-fd20b80b5a84,George Ezra,Green Green Grass,2022-07-06T20:32:55+02:00
1d185206-6f45-4738-891c-a59853fbaa6a,VIZE & Tom Gregory,Never Let Me Down,2022-07-06T20:30:24+02:00
8d591381-c5f1-4aa2-ccd2-bf1ae0c5e390,Leony,Remedy,2022-07-06T20:28:03+02:00
4cb861c7-97be-468a-cd03-5b5fc740a7e5,LINKIN PARK,CASTLE OF GLASS,2022-07-06T20:20:11+02:00
4b6022ca-2331-43d1-a8b1-b1948132b83d,Robin Schulz & Marc Scibilia,Unforgettable,2022-07-06T20:16:45+02:00
b6524a11-8f17-4f48-6ed7-1a5e15fe79cf,Harry Styles,As It Was,2022-07-06T20:14:09+02:00
68b5d7ee-0e31-4d80-83da-7c104420e5ee,Bill Medley & Jennifer Warnes,(I've Had) The Time of My Life,2022-07-06T20:07:44+02:00
14f1280d-b8de-47a2-6823-6964850115de,Ofenbach x Ella Henderson,Hurricane,2022-07-06T20:05:15+02:00
5c154411-23e2-41aa-096c-83223bff97ff,Alle Farben & Janieck,Little Hollywood (Original German Radio Edit),2022-07-06T20:02:19+02:00
6f098444-1000-4bd3-5b28-615358d17205,The Kid LAROI & Justin Bieber,Stay,2022-07-06T20:00:03+02:00
5e437148-b386-4fe1-2260-cc09858f7ae9,Olly Murs,Heart Skips a Beat (feat. Rizzle Kicks),2022-07-06T19:51:20+02:00
4e570169-c504-4ee2-9ecd-c978b65a401c,Lewis Capaldi,Someone You Loved,2022-07-06T19:48:36+02:00
bb56c945-15ab-45a9-ea6e-bc8e6820abb0,Yolanda Be Cool & DCUP,We No Speak Americano,2022-07-06T19:46:09+02:00
ddc1cf6b-3b76-4aac-e043-e19ae69f8a6b,Camila Cabello & Ed Sheeran,Bam Bam,2022-07-06T19:42:46+02:00
551cffb9-7787-490e-a72e-805d512ebebe,"ATB, Topic & A7S",Your Love (9PM),2022-07-06T19:38:45+02:00
317abafe-d69d-4c5c-2071-cb2043846e63,Phil Collins,In the Air Tonight,2022-07-06T19:34:32+02:00
b0d2e5c5-5291-4c31-2d45-9acec26b0798,Purple Disco Machine,Dopamine (feat. Eyelar),2022-07-06T19:30:58+02:00
624c35a9-515b-4d7e-3920-a12594f1ab70,Mark Forster,Übermorgen,2022-07-06T19:28:21+02:00
dffec24d-1cb7-4ec8-c394-3ac554fde725,Imagine Dragons,Bad Liar,2022-07-06T19:18:44+02:00
c41f9b51-b3b7-4592-d496-678074830789,George Ezra,Anyone For You,2022-07-06T19:15:38+02:00
b8af0fc2-8ab5-4f6d-89d6-39998f9eee02,Lady Gaga,Poker Face,2022-07-06T19:09:50+02:00
84dbe46a-067a-46ad-7160-1055d0a388c7,Michael Schulte,With You,2022-07-06T19:06:28+02:00
f4703435-8551-4248-d38e-cb7ebac62bd5,P!nk,What About Us,2022-07-06T19:02:35+02:00
c4c01bc8-4a90-48be-698b-501b107a7b42,Glockenbach,Brooklyn (feat. ClockClock),2022-07-06T18:59:39+02:00
d33448a1-b33b-4550-2b80-9d923322ed5f,Adele,Rolling In the Deep,2022-07-06T18:49:57+02:00
b16b870f-7048-46cf-4f3c-79655721f443,Mike Perry,Inside the Lines (feat. Casso),2022-07-06T18:46:52+02:00
16f8467d-481b-4f08-9f03-f74eea37e42f,Coldplay X BTS,My Universe,2022-07-06T18:43:49+02:00
19a494d6-08df-46d8-32f7-c0a85768e33d,Captain Hollywood Project,More and More,2022-07-06T18:38:07+02:00
85b2ec8b-2418-4b8b-d099-24c498ff2065,Kelvin Jones,Carry You,2022-07-06T18:35:27+02:00
c56b5e38-a7fa-4176-d789-a5a7de6cc54c,Kygo & Tina Turner,What's Love Got to Do with It,2022-07-06T18:32:06+02:00
211bacac-1ce7-4dc6-6791-ff78119fd60a,Michael Patrick Kelly,Blurry Eyes,2022-07-06T18:28:35+02:00
f725e288-8125-4345-eb82-12c764fa077f,Wiz Khalifa,See You Again (feat. Charlie Puth),2022-07-06T18:19:59+02:00
e1c56c2d-f4e6-424e-3e62-a7b53e1aed4c,The Strumbellas,Spirits,2022-07-06T18:16:42+02:00
58b8fad1-9c42-43bd-06aa-8346fc8b1794,Ava Max,Maybe You’re The Problem,2022-07-06T18:13:35+02:00
d6278a92-a7e4-446d-7eea-8f59453f23e6,Eurythmics,Sweet Dreams (Are Made of This),2022-07-06T18:08:24+02:00
3c0cb144-5b19-4a53-a4c0-78407c385521,Glass Animals,Heat Waves,2022-07-06T18:05:09+02:00
ba744cc1-e3e1-4b5c-f47c-33dc955c063c,Rea Garvey,Is It Love? (feat. Kool Savas),2022-07-06T18:02:17+02:00
90919f3d-b2e9-4ad1-c218-91d228a99aed,Alle Farben,Alright (feat. KIDDO),2022-07-06T17:59:33+02:00
ef20474e-b046-4328-b159-df3f69d6025f,Ellie Goulding,Love Me Like You Do,2022-07-06T17:48:52+02:00
322db5b3-50f5-41c5-c875-658a37cb9c89,"Nathan Evans, 220 KID & Billen Ted",Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),2022-07-06T17:46:58+02:00
0bae4523-a871-4996-b864-bfeb2b6b3d3d,Malik Harris,Rockstars,2022-07-06T17:44:22+02:00
ceba9e46-62d6-456d-2e8a-2e77533cda2b,Ultravox,Dancing with Tears in My Eyes,2022-07-06T17:38:39+02:00
57cde37b-2b89-4807-fe8e-2c4534699091,Dermot Kennedy,Something to Someone,2022-07-06T17:35:18+02:00
7779458f-d8f8-46fa-16fe-cb90e13fe7a2,Alesso & Katy Perry,When I'm Gone,2022-07-06T17:32:44+02:00
7b6923af-09d7-4a7b-f517-03f3b7b23a17,Ed Sheeran,Shape of You,2022-07-06T17:28:52+02:00
df776cc5-ec6e-44b7-e82c-515021d230b8,Michael Schulte,Keep Me Up,2022-07-06T17:20:10+02:00
738ea759-2f83-4ea7-b159-06b73e3b97a5,Rihanna,Only Girl (In the World),2022-07-06T17:17:05+02:00
cbd5c096-61b9-4ec0-a14c-f0512ca46568,George Ezra,Paradise,2022-07-06T17:13:26+02:00
911ce949-6409-4ad5-29db-0b53e8a9660e,Robbie Williams,Feel,2022-07-06T17:08:29+02:00
8ad648ff-9ee8-4154-cf20-a57ac13cf4f2,Lost Frequencies & Calum Scott,Where Are You Now,2022-07-06T17:06:03+02:00
26e59f7a-f037-47d4-7805-f7ff438fa99f,Laurell,Habit,2022-07-06T17:03:03+02:00
7dc98ba7-a990-4ca8-f349-4e923c5c1118,KAMRAD,I Believe,2022-07-06T17:00:35+02:00
c9f67da2-5026-4df5-8dda-292e7b052ad2,Avicii,Wake Me Up,2022-07-06T16:49:13+02:00
e22994d5-5e16-4778-7de2-e06e2ee072b2,Charlie Puth,One Call Away,2022-07-06T16:46:09+02:00
94bf17d1-bdab-4043-b412-9b87e30a2e99,Shawn Mendes,When You're Gone,2022-07-06T16:43:17+02:00
354a8859-f935-4c91-324d-1f69c16d20a0,Bryan Adams,(Everything I Do) I Do It for You,2022-07-06T16:37:36+02:00
b890bb5a-4c43-4e94-014d-5253a0523495,Elton John & Dua Lipa,Cold Heart (PNAU Remix),2022-07-06T16:34:22+02:00
89989b95-e1ac-4cbf-c583-6113ff674bfe,Max Giesinger,80 Millionen,2022-07-06T16:30:52+02:00
75749a6a-e071-404b-bb8f-65601409822e,ClockClock,Sorry,2022-07-06T16:28:02+02:00
cde24202-4954-41f7-ddb4-1fdc141ed380,Frans,If I Were Sorry,2022-07-06T16:19:33+02:00
989eb284-3839-4750-16e5-63dce29cf7dc,Shakira,Waka Waka (This Time for Africa) (feat. Freshlyground),2022-07-06T16:16:23+02:00
d2d91ca4-b706-4fa5-a472-b2b323acbd79,Olivia Rodrigo,good 4 u,2022-07-06T16:13:32+02:00
8d591381-c5f1-4aa2-ccd2-bf1ae0c5e390,Leony,Remedy,2022-07-06T16:08:54+02:00
a2672c52-5770-4f76-0c0d-f9d3e8ad4a1e,Phil Collins,Another Day In Paradise ed),2022-07-06T16:06:00+02:00
d6f1d14f-7b29-4985-0486-ef6da58fe4ad,Jonas Brothers,Sucker,2022-07-06T16:03:01+02:00
400c69b6-5ada-495a-4a41-beebe465b4f6,Robin Schulz & Dennis Lloyd,Young Right Now,2022-07-06T15:59:58+02:00
b2512cde-147d-4104-e83c-adb827f9d5df,Justin Bieber,Love Yourself,2022-07-06T15:48:57+02:00
65c8ae97-392b-4464-6c01-5f1ed6bf26ad,Lil Nas X,THATS WHAT I WANT,2022-07-06T15:46:35+02:00
a4f66fa7-f1f1-4513-40da-25fb665f4316,Michael Schulte,Remember Me,2022-07-06T15:43:02+02:00
dbd46096-5db8-477c-d2b4-62f6692b9897,Alphaville,Big In Japan,2022-07-06T15:38:10+02:00
5b4b1fe6-43ee-457e-f175-023640f43624,Alvaro Soler & Topic,Solo Para Ti,2022-07-06T15:34:46+02:00
83778084-d670-413f-3886-80103f8b8262,Jaymes Young,Infinity,2022-07-06T15:31:06+02:00
964b6d89-848f-4511-b435-7300e20567e9,Justin Timberlake,Can't Stop The Feeling!,2022-07-06T15:27:13+02:00
7c487838-cf02-4326-a28f-29c6fc4ab08b,Kungs & Cookin' On 3 Burners,This Girl,2022-07-06T15:19:00+02:00
33195cdf-cd67-4c98-fe50-0c13f58920f0,Bruno Mars,Grenade,2022-07-06T15:15:12+02:00
d30f2ecb-4301-45e4-e9ca-4207557bd9bd,Regard,Ride It,2022-07-06T15:12:39+02:00
4ae1d1ed-1887-48e6-9fdf-f16be5404169,Nickelback,How You Remind Me,2022-07-06T15:07:42+02:00
5069e6d7-570b-4f68-1ab2-79a9984629a1,Purple Disco Machine & Sophie and the Giants,In The Dark,2022-07-06T15:04:43+02:00
a3e54539-894c-4fe7-e67b-150981d6de6e,Wincent Weiss,Feuerwerk,2022-07-06T15:01:29+02:00
14f1280d-b8de-47a2-6823-6964850115de,Ofenbach x Ella Henderson,Hurricane,2022-07-06T14:59:06+02:00
cfffe783-a31b-49bb-38a5-2bb8243608b9,P!nk,Who Knew,2022-07-06T14:48:09+02:00
d827be3a-46f3-4f65-953a-26e9ea6afe51,Joel Corry,Head & Heart (feat. MNEK),2022-07-06T14:45:07+02:00
8cd3798d-a8f2-4bec-794c-5e887639e812,GAYLE,abcdefu,2022-07-06T14:42:01+02:00
d196998c-18b9-4ae4-5e0a-c1d3b0af9cb7,OneRepublic,West Coast,2022-07-06T14:37:20+02:00
11c081ce-0fb2-46a8-db0c-4a2ec24cce88,Puff Daddy & Faith Evans,I'll Be Missing You (feat. 112),2022-07-06T14:34:29+02:00
6ca21e95-7592-4cd5-9032-bb1da479b67e,BANNERS,Someone To You,2022-07-06T14:30:59+02:00
c4c01bc8-4a90-48be-698b-501b107a7b42,Glockenbach,Brooklyn (feat. ClockClock),2022-07-06T14:28:03+02:00
b742682a-12b4-48df-cf4b-89fbf056080f,"LUM!X, MOKABY & D.T.E & Gabry Ponte",The Passenger (LaLaLa),2022-07-06T14:20:35+02:00
e230b9ae-25e4-4b6e-7905-79a2ec177959,Lena,Wild & Free,2022-07-06T14:17:34+02:00
90618918-fc0e-42aa-6675-90a6dc5183ce,iann dior,let you,2022-07-06T14:15:17+02:00
a8350418-5f48-430d-d146-eaa5390cb6ba,Camouflage,Love Is a Shield,2022-07-06T14:09:32+02:00
211bacac-1ce7-4dc6-6791-ff78119fd60a,Michael Patrick Kelly,Blurry Eyes,2022-07-06T14:05:59+02:00
4e8acf42-86c9-4f56-7f74-12e71c59a8f0,Ava Max,Salt,2022-07-06T14:03:02+02:00
99e3db3f-66bc-4fa3-068c-fea511de78ff,Tate McRae,she's all i wanna be,2022-07-06T13:59:37+02:00
0c3a1feb-b0a6-4212-2e89-078b6916ae0b,Lukas Graham,7 Years,2022-07-06T13:49:57+02:00
2b68876f-37c1-473a-a594-b1b6c0cceed9,Mark Forster & LEA,Drei Uhr Nachts,2022-07-06T13:47:18+02:00
48188b3e-8ecd-4687-1ef8-39ec492de264,The Weeknd,Blinding Lights,2022-07-06T13:43:54+02:00
b6524a11-8f17-4f48-6ed7-1a5e15fe79cf,Harry Styles,As It Was,2022-07-06T13:41:14+02:00
d8f26f1c-26d5-408a-36d9-a65bcff905c8,Don Henley,The Boys of Summer,2022-07-06T13:37:35+02:00
3c0cb144-5b19-4a53-a4c0-78407c385521,Glass Animals,Heat Waves,2022-07-06T13:34:21+02:00
3e6f2da7-4c88-41ee-3bb1-28a5ef5f00cd,Rag'n'Bone Man,Skin,2022-07-06T13:30:32+02:00
c14ff8f6-2aaa-4542-99b1-d13398d1dc0f,"David Guetta, MistaJam & John Newman",If You Really Love Me (How Will I Know),2022-07-06T13:27:30+02:00
ed094094-9869-42f6-d2c3-37fd319b9242,Lost Frequencies,Are You with Me,2022-07-06T13:20:03+02:00
0af8c0ed-2c6b-4830-aaa7-8e0d1a980b1a,Bon Jovi,It's My Life,2022-07-06T13:16:21+02:00
eafb10e0-ba35-4d3e-f53a-b8dc626d54f8,Mabel,Don't Call Me Up,2022-07-06T13:13:26+02:00
0f1673f4-3a20-4d31-265a-86a04575a572,Ed Sheeran,Bad Habits,2022-07-06T13:08:40+02:00
ecf36f84-712f-4253-bb2b-bd925527e428,Alexandra Stan,Mr. Saxobeat,2022-07-06T13:05:30+02:00
eba1c866-ded9-4f03-ac74-3343c89ad727,Shawn Mendes,Treat You Better,2022-07-06T13:02:31+02:00
0bae4523-a871-4996-b864-bfeb2b6b3d3d,Malik Harris,Rockstars,2022-07-06T12:59:55+02:00
c1968000-9e48-4594-d058-5c417b2a7bd7,Rea Garvey,Kiss Me,2022-07-06T12:49:51+02:00
605b5eca-677d-409d-eefd-0af113579004,The Last Goodnight,Pictures of You,2022-07-06T12:46:49+02:00
e437ea96-d077-442c-51c8-1ec35b840350,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),2022-07-06T12:44:26+02:00
8654e609-52b3-40f2-9d16-f8d5ee5a778b,Tom Gregory,Footprints,2022-07-06T12:41:06+02:00
c9fa7c93-befc-4927-5a3f-9be23d74ec73,Felix Jaehn,Do It Better (feat. Zoe Wees),2022-07-06T12:37:05+02:00
a448aa5f-acfd-47e3-ebc1-7358e5b730f6,Backstreet Boys,Quit Playing Games (With My Heart),2022-07-06T12:33:44+02:00
5661f3b7-a194-4ffb-34ab-8665c88b3f52,Nico Santos,Rooftop,2022-07-06T12:30:31+02:00
7dc98ba7-a990-4ca8-f349-4e923c5c1118,KAMRAD,I Believe,2022-07-06T12:28:02+02:00
56c7582c-7f56-4a04-1457-0817879b8988,Omi,Cheerleader (Felix Jaehn Remix),2022-07-06T12:19:52+02:00
4f90a023-a6d9-4d50-679e-16e7b36ef5a4,Kygo x DNCE,Dancing Feet,2022-07-06T12:16:21+02:00
3dc23db2-d208-47bf-5289-2cfa26d8c7b6,Roxette,The Look,2022-07-06T12:10:55+02:00
75749a6a-e071-404b-bb8f-65601409822e,ClockClock,Sorry,2022-07-06T12:07:54+02:00
0c294862-6d71-419f-dfa3-70671081eed1,Jennifer Lopez,Ain't Your Mama,2022-07-06T12:04:23+02:00
4d0cbb9f-a6ca-47fd-2266-cad24bd523e3,Shouse,Love Tonight,2022-07-06T12:01:36+02:00
bcecd954-b5d2-41cd-9bbb-d6b3d48a307b,Meghan Trainor,Dear Future Husband,2022-07-06T11:49:19+02:00
b6d64b1c-daf1-460f-16be-6e3f4066246f,P!nk & Willow Sage Hart,Cover Me In Sunshine,2022-07-06T11:47:00+02:00
67391dcf-c51a-49dc-7e3c-a4bf41b39563,"YOUNOTUS, Janieck & Senex",Narcotic,2022-07-06T11:43:53+02:00
58b8fad1-9c42-43bd-06aa-8346fc8b1794,Ava Max,Maybe You’re The Problem,2022-07-06T11:40:47+02:00
3a2ddb3e-e1a9-4a2c-a2fb-3bc209503656,U2,I Still Haven't Found What I'm Looking For,2022-07-06T11:36:22+02:00
8d591381-c5f1-4aa2-ccd2-bf1ae0c5e390,Leony,Remedy,2022-07-06T11:34:30+02:00
9e64e2ff-538d-4c8f-9fc3-a9035cfc2ce9,Enrique Iglesias,DUELE EL CORAZON (feat. Wisin),2022-07-06T11:31:22+02:00
6f098444-1000-4bd3-5b28-615358d17205,The Kid LAROI & Justin Bieber,Stay,2022-07-06T11:29:04+02:00
f80e144d-e57e-4874-baa7-53e11ce7a541,Avicii,Hey Brother,2022-07-06T11:21:13+02:00
b9cb9d6b-22d9-4860-0dbd-15b83d34e92e,Anastacia,Left Outside Alone,2022-07-06T11:17:30+02:00
4f3ab2ce-d255-4c39-83fd-ef96d27a0926,Welshly Arms,Legendary,2022-07-06T11:13:48+02:00
c41f9b51-b3b7-4592-d496-678074830789,George Ezra,Anyone For You,2022-07-06T11:08:52+02:00
ffef2207-ab7d-46ee-9132-ccebaef1fde9,Olly Murs,Dear Darlin',2022-07-06T11:05:33+02:00
e1c82899-c3ab-49b4-8378-7c81c67cc7d6,Ed Sheeran,Beautiful People (feat. Khalid),2022-07-06T11:02:13+02:00
14f1280d-b8de-47a2-6823-6964850115de,Ofenbach x Ella Henderson,Hurricane,2022-07-06T10:59:49+02:00
365a9de8-1c1e-498b-a3ad-5e87332be3f8,Milow,Ayo Technology,2022-07-06T10:49:06+02:00
dfbc8415-68f8-4c5b-ae8f-365b5e63e6c8,Wincent Weiss,Hier mit dir,2022-07-06T10:46:03+02:00
b0d2e5c5-5291-4c31-2d45-9acec26b0798,Purple Disco Machine,Dopamine (feat. Eyelar),2022-07-06T10:42:30+02:00
a401cba2-2bd8-4b87-6733-5a391e5cfef4,Michael Patrick Kelly x Rea Garvey,Best Bad Friend,2022-07-06T10:37:28+02:00
f15416bd-02e2-4c31-818d-0bed1e15b8b3,No Doubt,Don't Speak,2022-07-06T10:33:15+02:00
