GUID,ARTIST,TRACK,AIRTIME
cc929df7-1e95-4624-f19c-ee8d5ef02c8c,The Kid LAROI,Thousand Miles,2022-07-06T21:00:55+02:00
e9facaf0-bd81-4b93-1598-3601b0b5ef7a,Kygo & Zoe Wees,Love Me Now,2022-07-06T20:57:45+02:00
16f8467d-481b-4f08-9f03-f74eea37e42f,Coldplay X BTS,My Universe,2022-07-06T20:54:03+02:00
52b25242-b504-41cf-2887-0d98b394645e,Tom Gregory,Rather Be You,2022-07-06T20:50:00+02:00
58b8fad1-9c42-43bd-06aa-8346fc8b1794,Ava Max,Maybe You’re The Problem,2022-07-06T20:46:52+02:00
5b606168-34ce-4c82-83d6-1396e6e5ad11,KLAN,Juli,2022-07-06T20:40:49+02:00
5c230b0e-7fa8-43a8-bbc8-3ea45180eb19,ROTE MÜTZE RAPHI & AYLO,Stories,2022-07-06T20:38:34+02:00
67bff220-b7e3-4a2a-ce98-9bb255f02c86,HE/RO x LGoony,Halb 4,2022-07-06T20:35:18+02:00
53dbaa14-2bd6-4278-b2c7-43681dfc0a0e,Nessi,Wann komm ich endlich an,2022-07-06T20:29:24+02:00
22b084ee-1d6b-44c9-0d73-7fb3cd35fff4,HE/RO,Zu schön um wahr zu sein,2022-07-06T20:27:10+02:00
b3725b2e-8a62-4f65-ce46-d7be37df6c33,toksi,Clueso hat mich blockiert,2022-07-06T20:20:11+02:00
b7f3022f-af5b-45ee-a3f5-3ab87edaffdf,HE/RO,Don't Care,2022-07-06T20:17:57+02:00
05ffcef5-8a76-4f46-cea6-8393b8d207ca,HE/RO,Gar Nix (Außer dir),2022-07-06T20:10:05+02:00
b7563538-3c7d-4486-7b54-3859b816899f,Nina Chuba,Tracksuit Velours,2022-07-06T20:03:25+02:00
eaa5f82f-99b1-4c70-cb1a-e089bb2be2e7,HE/RO,So hell,2022-07-06T20:00:10+02:00
6cdab018-f745-473d-e45b-f55da9a25af7,Antifuchs,Bubblegum,2022-07-06T19:53:07+02:00
298d1ea4-c3c1-4452-e536-b770fa161fe2,HE/RO,Kuss an Dich,2022-07-06T19:50:18+02:00
ac57626e-f0cc-49dc-3fab-8f88d803255d,Bazzi,Mine (Explicit Version),2022-07-06T19:40:43+02:00
89695dc6-1025-4b46-57f8-475f0e7de2ff,Alice Merton,Loveback,2022-07-06T19:37:04+02:00
69a115b4-f8a8-4d6a-52ce-562cc73e90fd,Ufo361,Nice Girl 2.0,2022-07-06T19:34:22+02:00
8cd73da1-8c22-4125-7695-21c1bb71ff36,Marshmello & Halsey,Be Kind,2022-07-06T19:31:19+02:00
bc1607de-9b57-4de9-398b-bafe7ea5f0cb,Swiss & Die Andern feat. Die Atzen,Kuhle Typen,2022-07-06T19:26:08+02:00
62da6520-5a7d-48f8-b4c3-2893f1466bd6,Post Malone feat. Doja Cat,I Like You (A Happier Song),2022-07-06T19:22:38+02:00
88f8510d-5f4a-4848-76c0-4f3713ffcfe4,T-Low & Miksu/Macloud,We Made It,2022-07-06T19:19:09+02:00
0ee04e79-b179-4db0-a150-9dbcf1346d68,Zoe Wees,Lonely,2022-07-06T19:11:13+02:00
1b0911d4-cb89-45ac-1e60-56b990947061,Imagine Dragons,Sharks,2022-07-06T19:08:02+02:00
48886437-1940-4043-4e0b-70191df8dfdb,Kool Savas & Alies,AMG,2022-07-06T19:04:37+02:00
d163257d-21a7-46ae-b8a0-e58adcc9ae82,Ed Sheeran feat. Bring Me The Horizon,Bad Habits,2022-07-06T19:00:04+02:00
a5e24ae0-cf68-4f58-e510-3050e7b27778,Feine Sahne Fischfilet,Komplett im Arsch,2022-07-06T18:54:55+02:00
3a915ae7-4a70-4c94-bd9d-66c854d281d2,Lizzo,About Damn Time,2022-07-06T18:51:18+02:00
976da590-aa4a-4f9f-bcb7-e7989af11b32,MERO & ELIF,Bitte geh,2022-07-06T18:48:06+02:00
04360d19-cd3c-4a68-8f45-7db665a62781,Martin Garrix,Ocean (feat. Khalid),2022-07-06T18:40:02+02:00
ebcf6d9e-f0ab-4afe-91a6-2c51ca271b61,Emilio,AUSMACHT,2022-07-06T18:37:23+02:00
8ddea270-2896-466c-8672-aeff830d1505,Ofenbach,Rock It,2022-07-06T18:35:01+02:00
babab21b-6e87-492b-4cb6-e7126f0eab70,Ava Max,Kings & Queens,2022-07-06T18:32:05+02:00
68b48e7a-100e-4f7e-7ea8-d2a17fbae667,Marteria,ENDBOSS (ICH SPRING VON LEVEL ZU LEVEL),2022-07-06T18:27:49+02:00
4844fae5-4008-4c5b-cba6-69be8049e341,Glockenbach feat. ÁSDÍS,Dirty Dancing,2022-07-06T18:24:18+02:00
f7ebd02e-05c8-4990-e73b-37bcdaf4827c,FiNCH ASOZiAL,FiNCHiBOY,2022-07-06T18:21:32+02:00
40644edd-2d88-46db-dfab-0bd98682d692,"David Guetta, Becky Hill & Ella Henderson",Crazy What Love Can Do,2022-07-06T18:13:12+02:00
fb52789c-6714-45b9-ef3b-ea49a4e9b542,Kummer,Wie viel ist dein Outfit wert,2022-07-06T18:10:41+02:00
409d580b-dae7-4749-1816-47ee34dab2a8,blackbear x Machine Gun Kelly,gfy,2022-07-06T18:07:38+02:00
13b3b050-b53a-4402-60ba-29236f17921f,SDP x Clueso,Die schönsten Tage,2022-07-06T18:04:25+02:00
e91f2b2c-7af0-4de0-c715-4b8a70bde02e,Dua Lipa,Be the One,2022-07-06T18:00:53+02:00
aa70f503-c72e-4d78-5d0c-bf685800bf07,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),2022-07-06T17:55:57+02:00
236e69a7-19db-4408-2f76-3dae1a24a31d,Panic! At the Disco,House Of Memories,2022-07-06T17:52:22+02:00
2f101714-883b-4558-d690-5e03895e55b1,Alligatoah,Fuck Rock n Roll,2022-07-06T17:48:47+02:00
5069e6d7-570b-4f68-1ab2-79a9984629a1,Purple Disco Machine & Sophie and the Giants,In The Dark,2022-07-06T17:40:26+02:00
7dc98ba7-a990-4ca8-f349-4e923c5c1118,KAMRAD,I Believe,2022-07-06T17:37:59+02:00
