GUID,ARTIST,TRACK,AIRTIME
7f0329d9-35b0-4eeb-537e-c3e868a4cef3,Coolio,Gangsta's Paradise,2022-07-06T20:21:32+02:00
4f88c7da-f44c-48c4-53e8-772f9d1639e4,Depeche Mode,It's No Good,2022-07-06T20:13:42+02:00
0db2b243-cc07-4631-78c0-be5ef3c4f8e0,Dr. Alban,Sing Hallelujah!,2022-07-06T20:09:06+02:00
fc60a482-83dd-4f6a-7624-8cb9c1628445,Take That,Back for Good,2022-07-06T20:05:17+02:00
e1e83cb7-6ffd-4642-dc18-38fa4d655a69,Simply Red,Fairground,2022-07-06T20:01:02+02:00
488015a9-66ed-4c2e-8d72-48391b0bdf74,Diana King,Shy Guy,2022-07-06T19:55:53+02:00
19a494d6-08df-46d8-32f7-c0a85768e33d,Captain Hollywood Project,More and More,2022-07-06T19:52:04+02:00
f376fe85-a809-46db-5420-8fce64678649,Khaled,Aicha,2022-07-06T19:48:04+02:00
54bc2056-eb68-4cf3-3745-b9078627c157,Loona,Mamboleo,2022-07-06T19:43:54+02:00
94e28c1b-481d-4207-a7ed-5ccbc9154df4,New Radicals,You Get What You Give,2022-07-06T19:39:49+02:00
51b9a258-3aa2-478b-b787-d16b2ef5b01e,Janet Jackson,Whoops Now,2022-07-06T19:36:35+02:00
42e412c0-0450-4ce0-c329-37e5bd535c07,Right Said Fred,I'm Too Sexy,2022-07-06T19:33:55+02:00
e61531c2-9c3a-4de1-6ab6-5943d3cb770e,Chesney Hawkes,The One and Only,2022-07-06T19:30:30+02:00
d018ad23-737c-43aa-3a0e-40c6fb37b0e0,S Club 7,Bring It All Back,2022-07-06T19:26:37+02:00
fede4506-5c10-47eb-3abf-1a1ef7485272,Lighthouse Family,High,2022-07-06T19:22:09+02:00
72de498f-53f6-426d-28de-460e442f3534,Vengaboys,We’re Going to Ibiza!,2022-07-06T19:18:06+02:00
d13cf967-4519-4e65-5c97-cb9c22640401,P.M. Sampson & Double Key,We Love to Love,2022-07-06T19:14:32+02:00
8c5c8a17-6a07-46ca-8be5-2165e8c2db83,Aqua,Barbie Girl,2022-07-06T19:10:35+02:00
c0f14c05-7a46-47fa-b473-88bfe012e9ee,Charles & Eddie,Would I Lie To You,2022-07-06T19:07:11+02:00
41cb6cc8-ec2d-4db1-160e-4ef232d641c9,Jamiroquai,Virtual Insanity,2022-07-06T19:03:35+02:00
69c93071-dec8-4da4-c919-038834c0d8e0,Enigma,Return To Innocence,2022-07-06T18:57:52+02:00
e6c3dc09-2804-4566-ab8b-29dfae51bfdd,Meredith Brooks,Bitch,2022-07-06T18:54:00+02:00
30ae074e-bf52-46de-1fa0-9ef524ffc185,Brandy & Monica,The Boy Is Mine,2022-07-06T18:50:04+02:00
5bc334db-eaa6-4883-6bf7-0e2fe880a6fa,Whitney Houston,My Name Is Not Susan,2022-07-06T18:45:48+02:00
fb613fee-6433-484b-15ab-6366d1d14a64,Robbie Williams,Angels,2022-07-06T18:42:01+02:00
2d8182c8-63cd-40f6-9e54-c327d37d9fb8,George Michael,Freedom! '90,2022-07-06T18:33:13+02:00
92478582-6421-4344-1413-a73b1585c63f,Depeche Mode,Enjoy the Silence,2022-07-06T18:29:11+02:00
01e33bdb-0776-41b8-3f9a-a6e1b8560b2e,Ace of Base,All That She Wants,2022-07-06T18:25:14+02:00
18f369aa-69a1-4a8c-1faf-b24864e8b200,Loft,Summer Summer 2k21,2022-07-06T18:20:44+02:00
2ee236b0-ce9a-4dae-1ffd-37ea5132895c,Ricky Martin,María,2022-07-06T18:16:48+02:00
4ca661d5-e4a2-4d60-db7c-5f0e59c18633,Eiffel 65,Blue (Da Ba Dee),2022-07-06T18:12:13+02:00
224ab8a9-dd07-424e-5420-c4092036f745,Massive Attack,Unfinished Sympathy,2022-07-06T18:07:26+02:00
02852b57-b511-494e-98cd-934d72ee2cc4,NANA,Too Much Heaven,2022-07-06T18:03:31+02:00
